,phrase,intent
0,Hello,greetings
1,Hi,greetings
2,Hey,greetings
3,Good day,greetings
4,Howdy,greetings
5,Hi there,greetings
6,Hey there,greetings
7,Greetings,greetings
8,Good morning,greetings
9,Good afternoon,greetings
10,Good evening,greetings
11,What’s up?,greetings
12,Yo,greetings
13,Sup,greetings
14,Heya,greetings
15,"Hi, how are you?",greetings
16,"Hello, is anyone here?",greetings
17,"Hi, I need some help",greetings
18,"Hey, can I ask something?",greetings
19,Hello there!,greetings
20,"Hi, can you assist me?",greetings
21,"Hey, I’m new here",greetings
22,"Hi, just looking around",greetings
23,"Hello, chatbot",greetings
24,What’s going on?,greetings
25,Hi!,greetings
26,Hello friend,greetings
27,Morning!,greetings
28,Afternoon!,greetings
29,Evening!,greetings
30,Hey team,greetings
31,Hello support,greetings
32,Hi again,greetings
33,Hello again,greetings
34,Long time no see,greetings
35,It’s good to see you,greetings
36,Yo! Anybody home?,greetings
37,"Hi, just checking in",greetings
38,"Hello, I’m back",greetings
39,Hey assistant,greetings
40,Hey bot,greetings
41,Good to be here,greetings
42,Hi support,greetings
43,Is anyone here?,greetings
44,Can someone help?,greetings
45,"Hello, need a bit of help",greetings
46,"Hi, quick question",greetings
47,"Hi, I’m here",greetings
48,"Hello, how’s it going?",greetings
49,"Hey, what’s happening?",greetings
50,"Hi, need help here",greetings
51,Hey you!,greetings
52,"Greetings, bot",greetings
53,Hi AI,greetings
54,"Hello, just arrived",greetings
55,"Hey, long time!",greetings
56,Good to meet you,greetings
57,"Hi, is this working?",greetings
58,"Hey there, bot",greetings
59,Good vibes!,greetings
60,Nice to be here,greetings
61,"Yo bot, what’s up?",greetings
62,Wassup!,greetings
63,How’s everything?,greetings
64,How are things?,greetings
65,Hi pal,greetings
66,Hi champ,greetings
67,"Hey there, genius!",greetings
68,Greetings to you,greetings
69,Sup bot,greetings
70,Hi awesome bot,greetings
71,Hey genius,greetings
72,Hey techie,greetings
73,Hello genius assistant,greetings
74,Good morning assistant,greetings
75,Good evening AI,greetings
76,Hi there buddy,greetings
77,Good afternoon bot,greetings
78,Hi again AI,greetings
79,How’s your day?,greetings
80,I’m here,greetings
81,Hey I’m online,greetings
82,Heyo,greetings
83,Hi helper,greetings
84,Hi there teacher,greetings
85,Hello smartie,greetings
86,Yo assistant,greetings
87,Hi mate,greetings
88,Hey digital buddy,greetings
89,Good day my friend,greetings
90,Hi guide,greetings
91,Hi facilitator,greetings
92,Hello beautiful AI,greetings
93,Hi coach,greetings
94,Hey superstar,greetings
95,Hi hero,greetings
96,Greetings assistant,greetings
97,Hey virtual friend,greetings
98,Hi machine,greetings
99,Hey bot bro,greetings
100,Good noon!,greetings
101,Good night assistant,greetings
102,Hey leader,greetings
103,Hi master,greetings
104,Hello helper,greetings
105,Hi navigator,greetings
106,Hey brainiac,greetings
107,Hi learner,greetings
108,Good noon AI,greetings
109,Hi tech bot,greetings
110,Hey assistant pal,greetings
111,Hi you there!,greetings
112,Hello new friend,greetings
113,Hey intelligence,greetings
114,Hi wizard,greetings
115,Hi robo,greetings
116,Hello from the other side,greetings
117,Good evening digital friend,greetings
118,Hey mate,greetings
119,"Hi again, assistant",greetings
120,Hello my friend,greetings
121,Hey support team,greetings
122,Hi crew,greetings
123,Hey bot master,greetings
124,Hi chat system,greetings
125,Hi learning assistant,greetings
126,"Hey, robot pal",greetings
127,Hi AI assistant,greetings
128,Greetings and cheers!,greetings
129,Hello tech friend,greetings
130,Hello botman,greetings
131,Good morning friend,greetings
132,Hey robo-pal,greetings
133,Hello world,greetings
134,Howdy chatbot,greetings
135,What’s happening?,greetings
136,Hey again,greetings
137,Welcome bot,greetings
138,Hi botman,greetings
139,Hello navigator,greetings
140,Hi AI genius,greetings
141,Hey engine,greetings
142,Hi support machine,greetings
143,Hi teacher bot,greetings
144,Hello virtual brain,greetings
145,Hi code buddy,greetings
146,Hey miracle,greetings
147,Hi clever bot,greetings
148,Greetings and salutations,greetings
149,I want to enroll,enrollment
150,How can I sign up?,enrollment
151,I’d like to register for a course,enrollment
152,Help me with enrollment,enrollment
153,I want to join a course,enrollment
154,Can I enroll now?,enrollment
155,Where do I register?,enrollment
156,Register me for a course,enrollment
157,I’m ready to start learning,enrollment
158,Sign me up,enrollment
159,How do I get started?,enrollment
160,I want to begin a course,enrollment
161,How do I register?,enrollment
162,I’m interested in joining,enrollment
163,Can I join the class?,enrollment
164,Tell me how to enroll,enrollment
165,Please sign me up,enrollment
166,I want to start the course,enrollment
167,What’s the enrollment process?,enrollment
168,How do I sign up for a course?,enrollment
169,Is registration open?,enrollment
170,I need help signing up,enrollment
171,Where can I register?,enrollment
172,I’d like to start learning,enrollment
173,Can I register for a class?,enrollment
174,I want to take this course,enrollment
175,How to join your classes?,enrollment
176,Can I start now?,enrollment
177,How do I enroll in your program?,enrollment
178,Show me how to register,enrollment
179,I want to apply for a course,enrollment
180,Where do I begin the enrollment?,enrollment
181,How can I apply?,enrollment
182,I want to be part of this course,enrollment
183,I want to study this subject,enrollment
184,Enroll me now,enrollment
185,I'm ready to enroll,enrollment
186,I'd like to begin a class,enrollment
